"Entry ID","Deposition Date","Release Date","PDB ID",
"6TWC","2020-01-13","2020-05-20","6TWC",
"6ROD","2019-05-11","2020-06-03","6ROD",
"7KBU","2020-10-03","2021-02-10","7KBU",
"7BOT","2020-03-19","2021-03-24","7BOT",
"7BOS","2020-03-19","2021-03-24","7BOS",
"7MWW","2021-05-17","2021-09-15","7MWW",
"6PQA","2019-07-08","2020-04-15","6PQA",
"6PQ5","2019-07-08","2020-04-15","6PQ5",
"6WOQ","2020-04-25","2020-08-19","6WOQ",
"6WO5","2020-04-24","2020-08-19","6WO5",
"6TWB","2020-01-13","2020-05-13","6TWB",
"7AK9","2020-09-30","2021-08-18","7AK9",
"6X08","2020-05-15","2020-12-09","6X08",
"6O24","2019-02-22","2020-07-01","6O24",
"7P8D","2021-07-21","2021-10-20","7P8D",
"7P8C","2021-07-21","2021-10-20","7P8C",
"6KOR","2019-08-12","2020-01-22","6KOR",
"7NL9","2021-02-22","2021-10-27","7NL9",
"6T6E","2019-10-18","2020-07-22","6T6E",
"6T6J","2019-10-18","2020-07-22","6T6J",
"7NA0","2021-06-19","2021-09-22","7NA0",
"6JVY","2019-04-17","2020-01-01","6JVY",
"6JVX","2019-04-17","2020-01-01","6JVX",
"7MI8","2021-04-16","2021-05-26","7MI8",
"7MI1","2021-04-16","2021-05-26","7MI1",
"6ZFB","2020-06-17","2020-10-14","6ZFB",
"6ZCA","2020-06-10","2020-10-14","6ZCA",
"6YJP","2020-04-04","2020-07-29","6YJP",
"7C3F","2020-05-12","2020-10-14","7C3F",
"7C2B","2020-05-07","2020-10-14","7C2B",
"6LVS","2020-02-04","2020-03-18","6LVS",
"7OWC","2021-06-17","2021-10-20","7OWC",
"6V64","2019-12-04","2020-05-13","6V64",
"7KFA","2020-10-13","2021-11-10","7KFA",
"7CZB","2020-09-07","2021-03-17","7CZB",
"6QLB","2019-01-31","2020-02-05","6QLB",
"6I1M","2018-10-29","2020-08-26","6I1M",
"7DCZ","2020-10-27","2021-03-10","7DCZ",
"5QD0","2017-12-01","2020-06-03","5QD0",
"5QCO","2017-12-01","2020-06-03","5QCO",
"5QD7","2017-12-01","2020-06-03","5QD7",
"5QCV","2017-12-01","2020-06-03","5QCV",
"5QD8","2017-12-01","2020-06-03","5QD8",
"5QCW","2017-12-01","2020-06-03","5QCW",
"5QD5","2017-12-01","2020-06-03","5QD5",
"5QCT","2017-12-01","2020-06-03","5QCT",
"5QD6","2017-12-01","2020-06-03","5QD6",
"5QCU","2017-12-01","2020-06-03","5QCU",
"5QD3","2017-12-01","2020-06-03","5QD3",
"5QCR","2017-12-01","2020-06-03","5QCR",
"5QD1","2017-12-01","2020-06-03","5QD1",
"5QCP","2017-12-01","2020-06-03","5QCP",
"5QD2","2017-12-01","2020-06-03","5QD2",
"5QCQ","2017-12-01","2020-06-03","5QCQ",
"5QCZ","2017-12-01","2020-06-03","5QCZ",
"5QD9","2017-12-01","2020-06-03","5QD9",
"5QCX","2017-12-01","2020-06-03","5QCX",
"5QCY","2017-12-01","2020-06-03","5QCY",
"5QDA","2017-12-01","2020-06-03","5QDA",
"7MYU","2021-05-21","2021-07-21","7MYU",
"6Q1U","2019-08-06","2020-04-15","6Q1U",
"6WPJ","2020-04-27","2020-11-04","6WPJ",
"6WPH","2020-04-27","2020-11-04","6WPH",
"6UL5","2019-10-06","2020-02-05","6UL5",
"6T1T","2019-10-06","2020-01-08","6T1T",
"6T1U","2019-10-06","2020-01-08","6T1U",
"6SP4","2019-08-30","2020-06-03","6SP4",
"6SP1","2019-08-30","2020-06-03","6SP1",
"6SMW","2019-08-23","2020-01-08","6SMW",
"6SMR","2019-08-22","2020-01-08","6SMR",
"6SMN","2019-08-22","2020-01-08","6SMN",
"6JUE","2019-04-13","2020-04-22","6JUE",
"7AVM","2020-11-05","2020-11-25","7AVM",
"6UUR","2019-10-31","2020-04-15","6UUR",
"7KEV","2020-10-12","2021-11-24","7KEV",
"6T9L","2019-10-28","2020-01-29","6T9L",
"7AHI","2020-09-24","2021-03-17","7AHI",
"7AH9","2020-09-24","2021-03-17","7AH9",
"7AFQ","2020-09-19","2020-12-16","7AFQ",
"7ADJ","2020-09-15","2021-04-07","7ADJ",
"7ADM","2020-09-15","2021-04-07","7ADM",
"7ADK","2020-09-15","2021-04-07","7ADK",
"6VLP","2020-01-24","2020-10-14","6VLP",
"6UQD","2019-10-18","2020-08-26","6UQD",
"5RE0","2020-03-24","2020-06-03","5RE0",
"5RDO","2020-03-24","2020-06-03","5RDO",
"5RDM","2020-03-24","2020-06-03","5RDM",
"5RDH","2020-03-24","2020-06-03","5RDH",
"5RDI","2020-03-24","2020-06-03","5RDI",
"5RDV","2020-03-24","2020-06-03","5RDV",
"5RDW","2020-03-24","2020-06-03","5RDW",
"5RDT","2020-03-24","2020-06-03","5RDT",
"5RDU","2020-03-24","2020-06-03","5RDU",
"5RDR","2020-03-24","2020-06-03","5RDR",
"5RDS","2020-03-24","2020-06-03","5RDS",
"5RE1","2020-03-24","2020-06-03","5RE1",
"5RDP","2020-03-24","2020-06-03","5RDP",
"5RE2","2020-03-24","2020-06-03","5RE2",
"5RDQ","2020-03-24","2020-06-03","5RDQ",
"5RDZ","2020-03-24","2020-06-03","5RDZ",
"5RDX","2020-03-24","2020-06-03","5RDX",
"5RDY","2020-03-24","2020-06-03","5RDY",
"5RCM","2020-03-24","2020-06-03","5RCM",
